H-1B Sponsorship Data- Healthcare & Public Health Administration FY'25 (Till 30-Sep-2025)  Prepared by : Srirams_chronicles,,,,,,,,,,,
This data is prepared based on the information in USCIS H1B Data website (Srirams_chronicles is not responsible for any unforeseen isssues with employers sponsoring H-1B),,,,,,,,,,,
Sl No,Fiscal Year,Employer (Petitioner) Name,Tax ID,Industry (NAICS) Code,Petitioner City,Petitioner State,Petitioner Zip Code,Initial Approval,Initial Denial,Continuing Approval,Continuing Denial
94,2025,MEDSTAR MEDICAL GROUP II LLC D B A MEDSTAR MEDICAL GROUP,2238,62 - Health Care and Social Assistance,COLUMBIA,MD,21044,14,6,13,1
95,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,BROOKLYN,NY,11206,14,0,0,0
96,2025,OSF HEALTHCARE SYSTEM,3229,62 - Health Care and Social Assistance,PEORIA,IL,61602,14,1,12,0
97,2025,OSF MULTI-SPECIALTY GROUP,2646,62 - Health Care and Social Assistance,PEORIA,IL,61602,14,0,4,0
98,2025,TELADOC HEALTH INC,5970,62 - Health Care and Social Assistance,PURCHASE,NY,10577,14,0,66,3
99,2025,VIDANT MEDICAL GROUP LLC D B A ECU HEALTH PHYSICIANS,839,62 - Health Care and Social Assistance,GREENVILLE,NC,27834,14,0,8,0
100,2025,BANNER HEALTH,3470,62 - Health Care and Social Assistance,PHOENIX,AZ,85012,13,1,8,1
101,2025,BERKSHIRE MEDICAL CENTER,1396,62 - Health Care and Social Assistance,PITTSFIELD,MA,1201,13,0,5,0
102,2025,BRONXCARE HEALTH SYSTEM,4191,62 - Health Care and Social Assistance,BRONX,NY,10456,13,0,2,0
103,2025,CLEVELAND CLINIC FLORIDA,3177,62 - Health Care and Social Assistance,CLEVELAND,OH,44195,13,0,1,0
104,2025,FAMILY HEALTHCARE NETWORK,5145,62 - Health Care and Social Assistance,VISALIA,CA,93291,13,0,6,0
105,2025,FRANCISCAN MISSIONARIES OF OUR LADY HEALTH SYSTEM INC,8323,62 - Health Care and Social Assistance,BATON ROUGE,LA,70809,13,0,6,0
106,2025,HOSPITAL PHYSICIAN SERVICES SOUTHEAST PROFESSIONAL CORPORATION,6888,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,13,0,10,0
107,2025,IDAHO HEALTHCARE INSTITUTE,1150,92 - Public Administration,IDAHO FALLS,ID,83402,13,1,0,0
108,2025,INDIANA UNIVERSITY HEALTH INC,5872,62 - Health Care and Social Assistance,INDIANAPOLIS,IN,46202,13,0,7,0
109,2025,NEMOURS FOUNDATION - NEMOURS CHILDRENS HEALTH,4433,62 - Health Care and Social Assistance,JACKSONVILLE,FL,32256,13,0,2,0
110,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,NEW YORK,NY,10004,13,0,7,0
111,2025,PEACEHEALTH,9479,62 - Health Care and Social Assistance,VANCOUVER,WA,98683,13,0,6,0
112,2025,PIEDMONT ATHENS REGIONAL MEDICAL CENTER INC DBA PIEDMONT ATHENS REGIO,9986,62 - Health Care and Social Assistance,ATHENS,GA,30606,13,0,10,0
113,2025,UOFL HEALTH - LOUISVILLE INC D B A UOFL HEALTH - JEWISH HOSPITAL,8470,62 - Health Care and Social Assistance,LOUISVILLE,KY,40202,13,0,7,0
114,2025,USA HEALTHCARE MANAGEMENT LLC,6255,62 - Health Care and Social Assistance,MOBILE,AL,36688,13,0,5,0
115,2025,WAKE FOREST UNIVERSITY BAPTIST MEDICAL CENTER,238,62 - Health Care and Social Assistance,WINSTON SALEM,NC,27157,13,0,4,0
116,2025,BIOGEN INC,2644,62 - Health Care and Social Assistance,CAMBRIDGE,MA,2142,12,0,42,0
117,2025,BRIDGEPORT HOSPITAL,6554,62 - Health Care and Social Assistance,BRIDGEPORT,CT,6610,12,0,5,1
118,2025,EDTHEORY LLC,5419,62 - Health Care and Social Assistance,PLEASANTON,CA,94566,12,1,5,0
119,2025,HOSPITAL SISTERS HEALTH SYSTEM DBA ST ANTHONYS MEMORIAL HOSPITAL,8692,62 - Health Care and Social Assistance,SPRINGFIELD,IL,62707,12,0,0,0
120,2025,HOSPITALIST MEDICINE PHYSICIANS OF TEXAS PLLC,1893,62 - Health Care and Social Assistance,BRENTWOOD,TN,37027,12,0,11,0
121,2025,LABORATORY CORPORATION OF AMERICA HOLDINGS,7370,62 - Health Care and Social Assistance,BURLINGTON,NC,27215,12,1,1,0
122,2025,NEW YORK POWER AUTHORITY,882,92 - Public Administration,WHITE PLAINS,NY,10601,12,2,4,0
123,2025,NORTH EAST MEDICAL SERVICES,2562,62 - Health Care and Social Assistance,DALY CITY,CA,94014,12,0,2,0
124,2025,NORTHWELL HEALTH,8133,62 - Health Care and Social Assistance,LAKE SUCCESS,NY,11042,12,0,10,0
125,2025,SEA MAR COMMUNITY HEALTH CENTERS,139,62 - Health Care and Social Assistance,SEATTLE,WA,98108,12,0,7,0
126,2025,THOMAS JEFFERSON UNIVERSITY HOSPITAL,9095,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19107,12,0,8,0
127,2025,UNITED HEALTH SERVICES HOSPITALS INC,5049,62 - Health Care and Social Assistance,BINGHAMTON,NY,13903,12,0,8,0
128,2025,UNIVERSITY COMMUNITY HOSPITAL INC D B A ADVENTHEALTH TAMPA,3901,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32701,12,0,7,0
129,2025,UNIVERSITY OF ALABAMA HEALTH SERVICES FOUNDATION PC,9108,62 - Health Care and Social Assistance,BIRMINGHAM,AL,35233,12,0,10,0
130,2025,ADVENTIST HEALTH SYSTEM SUNBELT INC D B A ADVENTHEALTH ORLANDO,4459,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32714,11,0,4,0
131,2025,BETH ISRAEL DEACONESS MEDICAL CENTER INC,3881,62 - Health Care and Social Assistance,CAMBRIDGE,MA,2138,11,0,1,0
132,2025,DANBURY HOSPITAL,6597,62 - Health Care and Social Assistance,DANBURY,CT,6810,11,0,5,0
133,2025,DARTMOUTH-HITCHCOCK CLINIC,9596,62 - Health Care and Social Assistance,LEBANON,NH,3756,11,0,9,0
134,2025,GUTHRIE MEDICAL GROUP P C,5795,62 - Health Care and Social Assistance,SAYRE,PA,18840,11,0,2,0
135,2025,KENNEDY KRIEGER INSTITUTE,7971,62 - Health Care and Social Assistance,BALTIMORE,MD,21205,11,0,0,0
136,2025,KETTERING MEDICAL CENTER,1866,62 - Health Care and Social Assistance,MIAMISBURG,OH,45342,11,1,6,0
137,2025,LIFELINE NURSING SOLUTIONS LLC,8317,62 - Health Care and Social Assistance,CUMMING,GA,30041,11,0,0,1
138,2025,MERCY HOSPITAL CEDAR RAPIDS IOWA DBA MERCY MEDICAL CENTER CEDAR RAPID,8295,62 - Health Care and Social Assistance,CEDAR RAPIDS,IA,52403,11,1,3,0
139,2025,MOUNT SINAI HOSPITAL,4096,62 - Health Care and Social Assistance,NEW YORK,NY,10029,11,0,7,0
140,2025,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,5001,62 - Health Care and Social Assistance,NEW YORK,NY,10037,11,0,0,0
141,2025,OU HEALTH PARTNERS INC,4696,62 - Health Care and Social Assistance,OKLAHOMA CITY,OK,73104,11,0,5,0
142,2025,SANFORD,8956,62 - Health Care and Social Assistance,SIOUX FALLS,SD,57105,11,0,0,0
143,2025,SOUTHEAST GEORGIA HEALTH SYSTEM INC,1751,62 - Health Care and Social Assistance,BRUNSWICK,GA,31520,11,0,1,0
144,2025,UNIVERSITY PHYSICIANS AND SURGEONS INC D B A MARSHALL HEALTH,4945,62 - Health Care and Social Assistance,HUNTINGTON,WV,25701,11,0,10,0
145,2025,ABINGTON MEMORIAL HOSPITAL D B A JEFFERSON HEALTH - ABINGTON HOSPITAL,2152,62 - Health Care and Social Assistance,ABINGTON,PA,19001,10,0,0,0
146,2025,ALBERT EINSTEIN MEDICAL CENTER D B A JEFFERSON EINSTEIN PHILADELPHIA,6794,62 - Health Care and Social Assistance,PHILADELPHIA,PA,19141,10,0,5,0
147,2025,BRONXCARE HEALTH SYSTEM,4191,62 - Health Care and Social Assistance,BRONX,NY,10457,10,0,11,0
148,2025,CHARLESTON AREA MEDICAL CENTER INC,6150,62 - Health Care and Social Assistance,CHARLESTON,WV,25301,10,0,3,0
149,2025,CITY OF PHILADELPHIA,3047,92 - Public Administration,PHILADELPHIA,PA,19102,10,0,2,0
150,2025,ELK REGIONAL HEALTH CENTER D B A PENN HIGHLANDS ELK,5280,62 - Health Care and Social Assistance,ST MARYS,PA,15857,10,0,0,0
151,2025,"INDIANA UNIVERSITY HEALTH CARE ASSOCIATES, INC.",7218,62 - Health Care and Social Assistance,INDIANAPOLIS,IN,46202,10,0,8,0
152,2025,MASSACHUSETTS EYE AND EAR INFIRMARY,3591,62 - Health Care and Social Assistance,SOMERVILLE,MA,2145,10,0,1,0
153,2025,SOUTHEASTERN PHYSICIAN SERVICES PC,9920,62 - Health Care and Social Assistance,KNOXVILLE,TN,37919,10,0,1,0
154,2025,THE CHILDRENS MERCY HOSPITAL,5373,62 - Health Care and Social Assistance,KANSAS CITY,MO,64108,10,0,9,0
155,2025,TIDALHEALTH SPECIALTY CARE LLC,9460,62 - Health Care and Social Assistance,SALISBURY,MD,21801,10,0,1,0
156,2025,UNIVERSITY HOSPITALS MEDICAL GROUP INC,1619,62 - Health Care and Social Assistance,CLEVELAND,OH,44106,10,0,7,0
157,2025,WESTCHESTER COUNTY HEALTH CARE CORPORATION,4321,62 - Health Care and Social Assistance,VALHALLA,NY,10595,10,0,1,0
158,2025,ADVENTIST HEALTH SYSTEM SUNBELT INC D B A ADVENTHEALTH SEBRING,5553,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32701,9,0,5,0
159,2025,ALTRU HEALTH SYSTEM,462,62 - Health Care and Social Assistance,GRAND FORKS,ND,58201,9,0,2,0
160,2025,ANN & ROBERT H. LURIE CHILDREN'S HOSPITAL OF CHICAGO,833,62 - Health Care and Social Assistance,CHICAGO,IL,60611,9,0,8,0
161,2025,BAYSTATE MEDICAL PRACTICES INC,8373,62 - Health Care and Social Assistance,SPRINGFIELD,MA,1199,9,0,7,0
162,2025,CAYUGA MEDICAL ASSOCIATES P C,6115,62 - Health Care and Social Assistance,ITHACA,NY,14850,9,0,3,0
163,2025,CHILDRENS HOSPITAL LOS ANGELES,977,62 - Health Care and Social Assistance,LOS ANGELES,CA,90027,9,0,3,0
164,2025,COLORADO WEST HEALTHCARE SYSTEM D B A COMMUNITY HOSPITAL,9270,62 - Health Care and Social Assistance,GRAND JUNCTION,CO,81505,9,0,3,0
165,2025,COMPREHAB LLC,7267,62 - Health Care and Social Assistance,GASTONIA,NC,28054,9,0,1,0
166,2025,FAYETTE PHYSICIAN NETWORK INC D B A WVUHS MEDICAL GROUP SMG,305,62 - Health Care and Social Assistance,MORGANTOWN,WV,26505,9,0,2,0
167,2025,FLORIDA HOSPITAL HEALTHCARE PARTNERS INC D B A ADVENTHEALTH MEDICAL G,4804,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32714,9,0,1,0
168,2025,FLORIDA HOSPITAL OCALA INC D B A ADVENTHEALTH OCALA,2339,62 - Health Care and Social Assistance,ALTAMONTE SPRINGS,FL,32701,9,0,2,0
169,2025,GENERAL PHYSICIAN P C,136,62 - Health Care and Social Assistance,BUFFALO,NY,14210,9,0,2,1
170,2025,HMH HOSPITALS CORPORATION,7576,62 - Health Care and Social Assistance,EDISON,NJ,8837,9,0,10,0
171,2025,ICAHN SCHOOL OF MEDICINE AT MOUNT,1197,62 - Health Care and Social Assistance,NEW YORK,NY,10029,9,1,5,0
172,2025,IOWA PHYSICIANS CLINIC MEDICAL FOUNDATION D B A UNITYPOINT CLINIC,1630,62 - Health Care and Social Assistance,WEST DES MOINES,IA,50266,9,0,8,0
173,2025,LEHIGH VALLEY HOSPITAL INC D B A LEHIGH VALLEY HEALTH NETWORK,9692,62 - Health Care and Social Assistance,CENTER VALLEY,PA,18034,9,0,1,0
174,2025,PIEDMONT MEDICAL CARE CORPORATION,2768,62 - Health Care and Social Assistance,ATLANTA,GA,30363,9,0,1,0
175,2025,PUBLIC HEALTH TRUST OF DADE COUNTY FLORIDA,3947,62 - Health Care and Social Assistance,MIAMI,FL,33136,9,0,2,0
176,2025,SEATTLE CHILDRENS HOSPITAL,4748,62 - Health Care and Social Assistance,SEATTLE,WA,98105,9,0,13,0
177,2025,THE STEPPING STONES GROUP LLC,2181,62 - Health Care and Social Assistance,BOSTON,MA,2110,9,0,17,0
178,2025,WILLIS-KNIGHTON MEDICAL CENTER INC D B A WILLIS KNIGHTON HEALTH,933,62 - Health Care and Social Assistance,SHREVEPORT,LA,71103,9,0,8,0
179,2025,ARL BIO PHARMA INC,8108,62 - Health Care and Social Assistance,OKLAHOMA CITY,OK,73104,8,0,0,0
180,2025,AUGUSTA HEALTH CARE INC,3954,62 - Health Care and Social Assistance,FISHERVILLE,VA,22939,8,0,0,0
181,2025,AURORA MEDICAL GROUP INC,8306,62 - Health Care and Social Assistance,MILWAUKEE,WI,53215,8,0,9,1
182,2025,BILLINGS CLINIC,1784,62 - Health Care and Social Assistance,BILLINGS,MT,59107,8,0,2,0
183,2025,"BMR HEALTH SERVICES, INC.",4123,62 - Health Care and Social Assistance,PLEASANTON,CA,94566,8,0,3,0
184,2025,CAMBRIDGE PUBLIC HEALTH COMMISSION D B A CAMBRIDGE HEALTH ALLIANCE,571,62 - Health Care and Social Assistance,MALDEN,MA,2148,8,0,11,0
185,2025,CENTRACARE CLINIC,6657,62 - Health Care and Social Assistance,ST CLOUD,MN,56303,8,0,1,0
186,2025,CHRISTUS HEALTH,551,62 - Health Care and Social Assistance,IRVING,TX,75039,8,0,11,0
187,2025,COHERE HEALTH INC,3515,62 - Health Care and Social Assistance,BOSTON,MA,2114,8,1,1,0
188,2025,COMANCHE COUNTY HOSPITAL AUTHORITY D B A COMANCHE COUNTY MEMORIAL HOS,1037,62 - Health Care and Social Assistance,LAWTON,OK,73505,8,0,3,0
